time;temp;rh;wd;ws;rain;pm10
2020-03-20 16:00;13.9;47.73333333;1;1.631666667;0;33.0774
2020-03-20 17:00;12.39;57.76;42;2.898333333;0;46.853
2020-03-20 18:00;11.045;65.035;43;2.058333333;0;53.1279
2020-03-20 19:00;10.16833333;68.225;51;2.268333333;0;63.9311
2020-03-20 20:00;9.775;68.89166667;58;2.263333333;0;39.3986
2020-03-20 21:00;9.528333333;69.365;82;2.158333333;0;37.3227
2020-03-20 22:00;9.186666667;69.75666667;73;2.248333333;0;42.1333
2020-03-20 23:00;8.56;68.20333333;58;2.5;0;35.9197
2020-03-21 00:00;7.215;68.21166667;45;3.735;0.056666667;21.1045
2020-03-21 01:00;4.875;74.22666667;28;4.226666667;0.65;14.775
2020-03-21 02:00;3.893333333;75.415;32;3.42;1.3;12.3805
2020-03-21 03:00;3.166666667;76.235;38;3.115;0.095;15.9964
2020-03-21 04:00;3.108333333;77.205;35;2.708333333;0.093333333;18.6971
2020-03-21 05:00;2.905;76.18333333;39;2.753333333;0;9.44363
2020-03-21 06:00;2.695;76.89833333;39;2.25;0.045;15.0545
2020-03-21 07:00;2.74;76.70333333;31;1.866666667;0.003333333;12.223
2020-03-21 08:00;3.363333333;75.71;26;2.133333333;0.058333333;11.9521
2020-03-21 09:00;3.963333333;72.62333333;24;2.581666667;0;9.60376
2020-03-21 10:00;4.256666667;70.535;32;2.706666667;0.068333333;23.6824
2020-03-21 11:00;4.045;67.895;27;3.736666667;0;16.8294
2020-03-21 12:00;4.033333333;63.24333333;26;3.806666667;0;9.47099
2020-03-21 13:00;4.165;59.52166667;23;3.1;0;8.64416
2020-03-21 14:00;4.321666667;56.1;25;2.966666667;0;13.7603
2020-03-21 15:00;4.906666667;49.57833333;24;2.496666667;0;11.1382
2020-03-21 16:00;4.788333333;47.25166667;7;2.47;0;9.44401
2020-03-21 17:00;4.23;42.785;14;2.93;0;9.26287
2020-03-21 18:00;3.731666667;42.78833333;13;2.901666667;0;12.4593
2020-03-21 19:00;3.196666667;43.69333333;9;3.298333333;0;14.3443
2020-03-21 20:00;2.603333333;49.76833333;30;3.74;0;11.5768
2020-03-21 21:00;1.293333333;61.26666667;34;2.796666667;0;17.2518
2020-03-21 22:00;1.611666667;49.135;28;2.735;0;12.3781
2020-03-21 23:00;1.093333333;45.50333333;23;2.748333333;0;9.20938
